10		10		10		10		10		10		10		10		10		10		10		10		10		10	
Nadine SEC Superose 6001:10_UV1_280nm		Nadine SEC Superose 6001:10_UV2_360nm		Nadine SEC Superose 6001:10_UV3_410nm		Nadine SEC Superose 6001:10_Cond		Nadine SEC Superose 6001:10_Cond%		Nadine SEC Superose 6001:10_Conc		Nadine SEC Superose 6001:10_pH		Nadine SEC Superose 6001:10_Pressure		Nadine SEC Superose 6001:10_Flow		Nadine SEC Superose 6001:10_Temp		Nadine SEC Superose 6001:10_Fractions		Nadine SEC Superose 6001:10_Inject		Nadine SEC Superose 6001:10_UV1_280nm@01,BASEM		Nadine SEC Superose 6001:10_Logbook	
min	UV1_280nm	min	UV22_360nm	min	UV3_410nm	min	 mS/cm	min	 %	min	 %B	min	 	min	 MPa	min	 ml/min	min	 °C	min	(Fractions)	min	(Injections)	min	 mAU	min	(Set Marks)
13	0.65	13	326.69	13	316.39	13.75	2.53	13.75	2.5	13.75	0	13.75	7.9	13.75	0	13.75	0.02	15	28.7					13	-0.88		
13.17	0.62	13.17	326.67	13.17	316.27	13.93	2.53	13.93	2.5	13.93	0	13.93	7.89	13.93	0	13.93	0.02	15.2	28.7					13.17	-0.88		
13.35	0.58	13.35	326.78	13.35	316.58	14.12	2.53	14.12	2.5	14.12	0	14.12	7.9	14.12	0	14.12	0.02	15.4	28.7					13.35	-0.87		
13.52	0.6	13.52	326.68	13.52	316.46	14.3	2.53	14.3	2.5	14.3	0	14.3	7.9	14.3	0	14.3	0.02	15.6	28.7					13.52	-0.87		
13.69	0.58	13.69	326.71	13.69	316.43	14.48	2.52	14.48	2.5	14.48	0	14.48	7.9	14.48	0	14.48	0.02	15.8	28.7					13.69	-0.86		
13.87	0.44	13.87	326.66	13.87	316.36	14.67	2.52	14.67	2.5	14.67	0	14.67	7.89	14.67	0	14.67	0.02	16	28.7					13.87	-0.86		
14.04	0.46	14.04	326.61	14.04	316.25	14.85	2.52	14.85	2.5	14.85	0	14.85	7.9	14.85	0	14.85	0.02	16.2	28.7					14.04	-0.85		
14.21	0.42	14.21	326.55	14.21	316.28	15.03	2.52	15.03	2.5	15.03	0	15.03	7.89	15.03	0	15.03	0.02	16.4	28.7					14.21	-0.85		
14.39	0.39	14.39	326.61	14.39	316.24	15.22	2.52	15.22	2.5	15.22	0	15.22	7.9	15.22	0	15.22	0.02	16.6	28.7					14.39	-0.84		
14.56	0.39	14.56	326.6	14.56	316.19	15.4	2.52	15.4	2.5	15.4	0	15.4	7.9	15.4	0	15.4	0.02	16.8	28.7					14.56	-0.84		
14.73	0.35	14.73	326.54	14.73	316.17	15.58	2.52	15.58	2.5	15.58	0	15.58	7.9	15.58	0	15.58	0.02	17	28.7					14.73	-0.83		
14.91	0.3	14.91	326.54	14.91	316.24	15.77	2.52	15.77	2.5	15.77	0	15.77	7.9	15.77	0	15.77	0.02	17.2	28.7					14.91	-0.82		
15.08	0.28	15.08	326.51	15.08	316.19	15.95	2.52	15.95	2.5	15.95	0	15.95	7.9	15.95	0	15.95	0.02	17.4	28.7					15.08	-0.82		
15.25	0.22	15.25	326.53	15.25	316.22	16.13	2.52	16.13	2.5	16.13	0	16.13	7.9	16.13	0	16.13	0.02	17.6	28.7					15.25	-0.81		
15.43	0.25	15.43	326.48	15.43	316.24	16.32	2.52	16.32	2.5	16.32	0	16.32	7.9	16.32	0	16.32	0.02	17.8	28.7					15.43	-0.8		
15.6	0.23	15.6	326.56	15.6	316.22	16.5	2.52	16.5	2.5	16.5	0	16.5	7.9	16.5	0	16.5	0.02	18	28.7					15.6	-0.8		
